Experiment,Metric,Rank,Median,CI - lower,CI - upper
Exp-01,Acc,18.7,98.46000000000001,98.24000000000001,98.71
Exp-01,BA,19.14,98.61,98.36,98.85000000000001
Exp-01,F1,18.89,98.65,98.45,98.86
Exp-01,F2,18.96,98.61999999999999,98.39,98.85000000000001
Exp-01,MCC,18.84,97.52,97.14,97.91
Exp-01,Sens,19.05,98.61999999999999,98.4,98.88
Exp-01,Spec,18.78,99.11999999999999,98.99,99.25
Exp-02,Acc,16.51,98.64,98.38,98.87
Exp-02,BA,16.03,98.9,98.67,99.1
Exp-02,F1,16.67,98.83999999999999,98.56,99.06
Exp-02,F2,16.11,98.87,98.61999999999999,99.08
Exp-02,MCC,16.49,97.85000000000001,97.39999999999999,98.21
Exp-02,Sens,16.4,98.89,98.67,99.08
Exp-02,Spec,15.69,99.26,99.09,99.37
Exp-03,Acc,18.9,98.45,98.09,98.67
Exp-03,BA,18.96,98.54,97.82,98.92
Exp-03,F1,18.59,98.64,98.13,98.92
Exp-03,F2,18.75,98.58,97.91,98.92
Exp-03,MCC,18.85,97.53,96.96000000000001,97.88
Exp-03,Sens,18.75,98.57000000000001,97.83,99.0
Exp-03,Spec,18.68,99.11999999999999,98.92,99.25
Exp-04,Acc,15.82,98.64,98.11999999999999,98.94
Exp-04,BA,16.51,98.85000000000001,98.42,99.11999999999999
Exp-04,F1,17.15,98.74000000000001,98.13,99.11
Exp-04,F2,16.96,98.78,98.26,99.11
Exp-04,MCC,17.3,97.7,96.89,98.24000000000001
Exp-04,Sens,16.84,98.82,98.39,99.11999999999999
Exp-04,Spec,16.79,99.2,98.96000000000001,99.38
Exp-05,Acc,3.9,99.08,98.99,99.18
Exp-05,BA,4.5,99.24,99.15,99.32
Exp-05,F1,4.4,99.22999999999999,99.08,99.33999999999999
Exp-05,F2,4.7,99.22,99.11,99.31
Exp-05,MCC,4.64,98.50999999999999,98.35000000000001,98.66
Exp-05,Sens,4.78,99.22999999999999,99.15,99.32
Exp-05,Spec,4.2,99.47,99.42,99.52
Exp-06,Acc,7.92,98.97,98.8,99.14
Exp-06,BA,7.87,99.16,99.02,99.3
Exp-06,F1,7.77,99.14,98.99,99.29
Exp-06,F2,7.69,99.15,99.00999999999999,99.3
Exp-06,MCC,8.15,98.35000000000001,98.08,98.63
Exp-06,Sens,7.84,99.16,99.02,99.31
Exp-06,Spec,9.88,99.38,99.28,99.47
Exp-07,Acc,15.98,98.67,98.33,98.95
Exp-07,BA,14.18,98.97,98.64,99.21
Exp-07,F1,13.62,98.98,98.68,99.2
Exp-07,F2,15.75,98.87,98.55000000000001,99.17
Exp-07,MCC,13.55,98.07000000000001,97.48,98.47
Exp-07,Sens,13.83,98.98,98.64,99.25
Exp-07,Spec,15.41,99.25,99.06,99.42
Exp-08,Acc,11.58,98.86,98.61,99.1
Exp-08,BA,11.5,99.06,98.85000000000001,99.26
Exp-08,F1,10.42,99.08,98.85000000000001,99.27
Exp-08,F2,10.02,99.09,98.87,99.29
Exp-08,MCC,11.57,98.18,97.78999999999999,98.54
Exp-08,Sens,10.59,99.09,98.88,99.28
Exp-08,Spec,11.75,99.35000000000001,99.2,99.47
