,Rank Accuracy,Median acc,Rank Epoch,Median epoch
Exp-01,17.59,98.8,8.14,5
Exp-02,17.05,98.83999999999999,11.39,7
Exp-03,19.05,98.76,9.79,7
Exp-04,16.42,98.88,13.45,8
Exp-05,7.55,99.32,8.09,6
Exp-06,5.69,99.35000000000001,9.31,7
Exp-07,9.21,99.3,7.18,6
Exp-08,9.69,99.28,8.11,6
Exp-09,15.1,98.92999999999999,12.28,7
Exp-10,16.41,98.88,11.75,7
Exp-11,15.53,98.91,13.64,7
Exp-12,14.76,98.95,11.61,7
Exp-13,6.98,99.33,14.11,8
Exp-14,8.38,99.31,6.58,6
Exp-15,5.25,99.36,6.65,6
Exp-16,4.27,99.37,9.95,6
Exp-17,1.91,99.42999999999999,12.13,7
Exp-18,4.98,99.36,11.2,8
Exp-19,9.16,99.28,9.28,6
Exp-20,5.02,99.37,15.36,8
