,Train acc,Train acc,Val acc,Val acc,Test acc,Test acc
,mean,std,mean,std,mean,std
Experiment,,,,,,
Exp-01,99.38,0.06,98.25,0.6,98.47,0.41
Exp-02,99.38,0.12,98.7,0.43,98.64,0.44
Exp-03,98.84,1.56,98.35,0.73,98.44,0.52
Exp-04,99.31,0.13,98.41,0.76,98.64,0.76
Exp-05,99.45,0.06,99.1,0.2,99.08,0.17
Exp-06,99.44,0.06,99.13,0.22,98.97,0.3
Exp-07,99.4,0.12,99.01,0.34,98.67,0.55
Exp-08,99.38,0.12,99.03,0.4,98.86,0.42
Exp-09,98.61,0.09,98.77,0.36,98.89,0.22
Exp-10,98.24,1.17,98.57,0.71,98.87,0.54
Exp-11,98.41,0.09,98.56,0.43,98.83,0.32
Exp-12,98.44,0.05,98.7,0.22,98.84,0.18
Exp-13,99.42,0.07,99.17,0.29,98.94,0.33
Exp-14,99.38,0.08,99.15,0.3,99.04,0.18
Exp-15,99.34,0.06,99.18,0.41,99.08,0.16
Exp-16,99.31,0.15,99.14,0.31,99.01,0.19
Exp-17,99.22,0.17,99.19,0.3,98.97,0.34
Exp-18,99.22,0.15,99.19,0.35,99.16,0.19
Exp-19,99.17,0.1,98.94,0.53,98.71,0.29
Exp-20,99.2,0.15,99.08,0.39,99.13,0.23
